Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2022,OH,Ohio,Allen,BRFSS,Health Outcomes,Depression among adults,%,Crude prevalence,26.6,,,23.5,30.0,101115,77523,39003,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-84.1057940825963 40.7714977646394)
2022,OH,Ohio,Clinton,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,33.9,,,32.6,35.2,41964,32647,39027,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-83.8084036693333 39.4149624798012)
2022,OH,Ohio,Huron,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.7,,,9.5,12.0,58218,44548,39077,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-82.5978887799573 41.1464249274686)
2022,OH,Ohio,Knox,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.7,,,9.5,12.0,63183,48910,39083,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-82.4215435805835 40.3988019956419)
2022,OH,Ohio,Miami,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,3.5,,,3.2,3.9,110247,85193,39109,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-84.2289753159029 40.0535853378213)
2022,OH,Ohio,Monroe,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,4.9,,,4.5,5.4,13234,10548,39111,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-81.08292876066 39.7273484694683)
2022,OH,Ohio,Preble,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,33.2,,,31.4,35.1,40596,31654,39135,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-84.647965894182 39.7415985069018)
2022,OH,Ohio,Putnam,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,3.4,,,3.1,3.8,34334,25624,39137,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-84.1317442011222 41.0221222224867)
2022,OH,Ohio,Ross,BRFSS,Disability,Vision disability among adults,%,Crude prevalence,6.3,,,5.7,6.9,76606,60517,39141,DISABLT,VISION,CrdPrv,Vision Disability,POINT (-83.0572216272589 39.3374905467001)
2022,OH,Ohio,Scioto,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,36.2,,,34.5,37.8,72194,56645,39145,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-82.9932730384393 38.80401792582)
2022,OH,Ohio,Seneca,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,46.0,,,40.1,52.2,54632,43023,39147,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-83.1275866518734 41.1237051920597)
2022,OH,Ohio,Wayne,BRFSS,Health Outcomes,Stroke among adults,%,Age-adjusted prevalence,3.0,,,2.8,3.3,116559,88921,39169,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-81.8879430008873 40.828860440969)
2022,PA,Pennsylvania,Cameron,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,5.5,,,5.0,6.1,4418,3654,42023,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-78.2040372022551 41.4367312238399)
2022,OH,Ohio,Holmes,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,42.1,,,34.3,50.0,44390,31071,39075,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-81.9295580157618 40.5612300981469)
2022,OH,Ohio,Carroll,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Crude prevalence,12.8,,,11.5,14.1,26659,21168,39019,HLTHOUT,COPD,CrdPrv,COPD,POINT (-81.0896541475271 40.5793488212271)
2022,OH,Ohio,Auglaize,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Age-adjusted prevalence,38.5,,,33.1,44.3,45948,35074,39011,RISKBEH,SLEEP,AgeAdjPrv,Short Sleep Duration,POINT (-84.2217028293862 40.5608789781255)
2022,OH,Ohio,Holmes,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,%,Age-adjusted prevalence,52.4,,,48.5,56.3,44390,31071,39075,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-81.9295580157618 40.5612300981469)
2022,OH,Ohio,Hocking,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,25.3,,,22.7,28.1,27858,21851,39073,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,POINT (-82.4790929531545 39.4970988676517)
